tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/nowe-pod-klucz-miejsce-p-centrum-winda-ID4wJmJ,,35.56,472000.0,13273.0,400.0,2.0,,pierwotny,brak informacji,3/5,do zamieszkania,pełna własność,2025-03-19,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2024,nie,,,,,,,otodom
,https://www.otodom.pl/pl/oferta/najtansze-4-pokoje-garaz-komorka-umow-termin-ID4wJn5,,61.0,556000.0,9115.0,,4.0,blok,pierwotny,miejskie,brak informacji,do wykończenia,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, pom. użytkowe",,tak,cegła,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-premium-ec1-ID4wJmL,,43.9,799000.0,18200.0,400.0,2.0,,wtórny,brak informacji,2/2,do zamieszkania,pełna własność,2025-03-01,biuro nieruchomości,,2023,nie,,,,,,,otodom
,https://www.otodom.pl/hpr/pl/oferta/zgarnij-dodatkowy-rabat-dzisiaj-przy-um-tramwaj-ID4wJAI,,33.3,318207.0,9556.0,331.0,1.0,blok,pierwotny,miejskie,parter/4,do wykończenia,pełna własność,brak informacji,biuro nieruchomości,"balkon, ogródek, garaż/miejsce parkingowe, piwnica, pom. użytkowe",2025,tak,cegła,plastikowe,A+,,"drzwi / okna antywłamaniowe, domofon / wideofon","internet, telewizja kablowa, telefon",otodom
,https://www.otodom.pl/pl/oferta/zielone-polesie-3-pokojowe-z-garazem-dla-rodziny-ID4wGEn,,65.0,519000.0,7985.0,740.0,3.0,blok,wtórny,miejskie,4/5,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, piwnica",1965,tak,cegła,plastikowe,A+,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe","telewizja kablowa, internet",otodom
,https://www.otodom.pl/pl/oferta/2-pokoje-rozkladowe-nowe-instalacje-gorzowska-8-ID4ozgg,,45.0,299999.0,6667.0,613.0,2.0,blok,wtórny,miejskie,2/4,do remontu,pełna własność,brak informacji,prywatny,,,nie,inny,plastikowe,,"zmywarka, piekarnik, kuchenka",,"telewizja kablowa, internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/apartament-przy-piotrkowskiej-ID4wJlJ,,98.89,975000.0,9859.0,1275.0,3.0,apartamentowiec,wtórny,miejskie,1/5,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"taras, garaż/miejsce parkingowe",2008,tak,inny,plastikowe,,,,,otodom
,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-lodzi-przy-ul-piotrkowskiej-ID4q8VJ,,25.26,265000.0,10491.0,200.0,1.0,kamienica,wtórny,elektryczne,4/4,do zamieszkania,pełna własność,brak informacji,prywatny,,,nie,cegła,plastikowe,,"zmywarka, lodówka, meble",,,otodom
,https://www.otodom.pl/pl/oferta/piekne-duze-orginalne-mieszkanie-piotrkowska-ID4wJkq,,130.0,1200000.0,9231.0,,4.0,kamienica,wtórny,miejskie,2/4,do zamieszkania,brak informacji,brak informacji,biuro nieruchomości,,1948,nie,cegła,plastikowe,,,,,otodom
,https://www.otodom.pl/pl/oferta/apartament-z-miejscem-postojowym-w-cenie-ID4wJj5,,66.56,650000.0,9766.0,600.0,2.0,apartamentowiec,wtórny,miejskie,4/4,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,"balkon, taras, garaż/miejsce parkingowe, pom. użytkowe",2020,tak,,plastikowe,,"zmywarka, lodówka, meble, piekarnik, kuchenka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet",otodom
,https://www.otodom.pl/pl/oferta/nowoczesny-apartment-z-balkonem-smart-bezposrednio-ID4wnsH,,39.9,498700.0,12499.0,300.0,2.0,apartamentowiec,pierwotny,miejskie,2/3,do wykończenia,pełna własność,2025-04-01,prywatny,"balkon, garaż/miejsce parkingowe, piwnica",2025,tak,żelbet,aluminiowe,W trakcie realizacji / Zwolnione,,,"telewizja kablowa, internet",otodom
,https://www.otodom.pl/pl/oferta/kawalerka-do-zamieszkania-chojny-duzy-balkon-ID4wJii,,33.3,278000.0,8348.0,450.0,1.0,blok,wtórny,miejskie,4/10,do remontu,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",1970,tak,wielka płyta,plastikowe,,"meble, lodówka, piekarnik, zmywarka",,,otodom
,https://www.otodom.pl/pl/oferta/dwa-pokoje-wysoki-standard-nowe-sady-ID4wJhR,,47.0,599000.0,12745.0,400.0,2.0,apartamentowiec,wtórny,miejskie,4/5,do zamieszkania,pełna własność,2025-04-07,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, piwnica, pom. użytkowe",2024,tak,silikat,,,"meble, piekarnik, lodówka, zmywarka, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon","telefon, internet, telewizja kablowa",otodom
