tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/0-56m2-potencjal-na-3-pokoje-do-remontu-ID4wLep.html,,56.0,409000.0,7304.0,800.0,2.0,blok,wtórny,miejskie,3/3,do remontu,pełna własność,2025-04-30,biuro nieruchomości,"balkon, piwnica, oddzielna kuchnia",1983,nie,,plastikowe,,,,"telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-retkinia-ID4wLTP.html,,46.0,470000.0,10217.0,580.0,3.0,blok,wtórny,miejskie,3/11,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, piwnica",,tak,wielka płyta,plastikowe,W trakcie realizacji / Zwolnione,"zmywarka, lodówka, piekarnik, kuchenka, pralka",,,olx
,https://www.otodom.pl/pl/oferta/2-pokoje-pelen-rozklad-radiostacja-ID4wIpe.html,,37.0,320000.0,8649.0,500.0,2.0,blok,wtórny,miejskie,4/11,do remontu,spółdzielcze wł. prawo do lokalu,2025-03-28,biuro nieruchomości,,1980,tak,wielka płyta,plastikowe,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-po-remoncie-przy-manufakturze-ID4wxo6.html,,48.22,370000.0,7673.0,760.0,2.0,blok,wtórny,miejskie,2/10,do zamieszkania,pełna własność,2025-03-27,biuro nieruchomości,"balkon, piwnica",1975,tak,wielka płyta,,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,olx
,https://www.otodom.pl/pl/oferta/absolutnie-nietuzinkowe-m-4-62-m2-po-remoncie-ID4wKma.html,,62.0,615000.0,9919.0,930.0,3.0,blok,wtórny,miejskie,2/4,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, piwnica",1980,nie,wielka płyta,plastikowe,,"meble, lodówka, piekarnik, zmywarka, kuchenka",,,olx
,https://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-z-balkonem-ID4wLy7.html,,38.0,370000.0,9737.0,400.0,2.0,blok,wtórny,miejskie,3/4,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia, pom. użytkowe",1980,nie,wielka płyta,plastikowe,A,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",olx
,https://www.otodom.pl/pl/oferta/-ID4wk8Z.html,,115.86,760000.0,6560.0,310.0,,,wtórny,gazowe,1/1,do zamieszkania,pełna własność,2025-03-26,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2014,nie,cegła,,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/2-rozkladowe-pokoje-balkon-przy-politechnice-ID4wCwy.html,,36.5,269000.0,7370.0,400.0,2.0,blok,wtórny,miejskie,8/10,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia",,tak,cegła,plastikowe,A+,"zmywarka, lodówka, piekarnik, kuchenka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",olx
,https://www.otodom.pl/pl/oferta/2-pokojowe-blisko-centrum-idealne-na-wynajem-ID4wHJK.html,,23.07,187000.0,8106.0,265.0,2.0,kamienica,wtórny,gazowe,3/3,do zamieszkania,pełna własność,brak informacji,prywatny,,1910,nie,cegła,plastikowe,W trakcie realizacji / Zwolnione,"lodówka, meble, kuchenka, pralka",,"telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/wielki-dodatkowy-rabat-scisle-centrum-ID4wIIM.html,,41.0,371300.0,9056.0,,2.0,apartamentowiec,pierwotny,miejskie,1/6,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, taras, garaż/miejsce parkingowe",2025,tak,cegła,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,olx
,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-mieszkanie-ul-laczna-33-ID4wHl7.html,,32.0,340000.0,10625.0,495.0,2.0,blok,wtórny,miejskie,3/10,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, piwnica",,tak,wielka płyta,plastikowe,,"zmywarka, meble, piekarnik, kuchenka",,"telewizja kablowa, internet, telefon",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/3-pokoje-po-remoncie-w-lodzi-ul-wigury-parking-ID4wxy0.html,,40.0,340000.0,8500.0,800.0,2.0,blok,wtórny,inne,parter/15,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,,1960,tak,,plastikowe,,,,,olx
,https://www.otodom.pl/pl/oferta/m3-na-widzewie-z-balkonem-na-9-pietrze-po-remoncie-ID4wyYp.html,,37.68,325000.0,8625.0,400.0,2.0,blok,wtórny,miejskie,9/10,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,"balkon, piwnica",1978,nie,,plastikowe,,,,"telewizja kablowa, internet, telefon",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/jasne-mieszkanie-na-slonecznym-marysinie-ID4pSne.html,,59.8,423000.0,7074.0,830.0,3.0,blok,wtórny,miejskie,2/4,do remontu,pełna własność,brak informacji,biuro nieruchomości,,1940,nie,cegła,,,,,,olx
,https://www.otodom.pl/pl/oferta/jasne-2-pokojebalkonrozkladowe2-pietro-ID4wDfE.html,,45.13,310000.0,6869.0,450.0,2.0,blok,wtórny,miejskie,2/4,brak informacji,pełna własność,2024-10-31,biuro nieruchomości,,1965,nie,,plastikowe,,,,,olx
,https://www.otodom.pl/pl/oferta/2-pokoje-obok-manufaktury-bez-pcc-do-aranzacji-ID4wC7g.html,,39.0,340000.0,8718.0,,2.0,apartamentowiec,pierwotny,miejskie,5/10,do wykończenia,pełna własność,2025-03-26,biuro nieruchomości,"balkon, piwnica",2025,tak,,plastikowe,,,,,olx
,https://www.otodom.pl/pl/oferta/3-pokoje-ul-traktorowa-grabieniec-ID4wKAW.html,,52.5,475000.0,9048.0,800.0,3.0,blok,wtórny,miejskie,1/10,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, piwnica",1969,tak,wielka płyta,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/na-sprzedaz-sloneczne-2-pokojowe-mieszkanie-ID4wt6v.html,,41.22,314000.0,7618.0,510.0,2.0,blok,wtórny,miejskie,3/4,do remontu,pełna własność,2025-02-20,biuro nieruchomości,,1960,nie,cegła,,W trakcie realizacji / Zwolnione,,,,olx
,https://www.otodom.pl/pl/oferta/trzy-pokoje-na-olechowie-rezerwacja-ID4wIfr.html,,71.18,730000.0,10256.0,1000.0,3.0,blok,wtórny,miejskie,3/3,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, garaż/miejsce parkingowe, piwnica",2007,tak,,,,"zmywarka, lodówka, meble, piekarnik, kuchenka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/mieszkanie-45m-m3-swiezo-po-remoncie-julianow-ID4sPfk.html,,45.0,429900.0,9553.0,490.0,2.0,blok,wtórny,miejskie,1/4,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,,1975,nie,beton,plastikowe,W trakcie realizacji / Zwolnione,"zmywarka, meble",,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/2-pokojowe-1-pietro-os-wielkopolska-ID4wHYf.html,,37.0,269000.0,7270.0,350.0,2.0,blok,wtórny,miejskie,1/4,brak informacji,pełna własność,brak informacji,biuro nieruchomości,,,nie,,plastikowe,,"lodówka, meble, piekarnik",,"telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/m3-retkinia-bezposrednio-ID4wKGu.html,,49.15,499000.0,10153.0,700.0,3.0,blok,wtórny,miejskie,8/11,do zamieszkania,brak informacji,brak informacji,prywatny,"balkon, pom. użytkowe",1985,tak,wielka płyta,plastikowe,,"zmywarka, lodówka, meble, piekarnik, kuchenka",,,olx
,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-rozkladowe-z-balkonem-ID4wLxw.html,,45.0,420000.0,9333.0,500.0,2.0,blok,wtórny,miejskie,3/4,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia, pom. użytkowe",1980,nie,wielka płyta,plastikowe,A,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-na-zamknietym-osiedlu-ID4wJto.html,,61.15,780000.0,12756.0,712.0,3.0,apartamentowiec,wtórny,inne,parter/1,do zamieszkania,pełna własność,brak informacji,prywatny,"ogródek, taras, garaż/miejsce parkingowe, pom. użytkowe",2019,nie,silikat,plastikowe,B,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-z-ogrodkiem-i-garazem-ID4tMLR.html,,50.0,385000.0,7700.0,,2.0,dom wolnostojący,wtórny,gazowe,parter,do zamieszkania,pełna własność,2024-11-14,biuro nieruchomości,,1990,nie,,,,,,,olx
